44,7.160745312286432,8,157
47,2.879910043632805,20,524
64,3.8346222503494785,7,630
67,7.491698371527247,3,814
67,8.78452190276042,21,886
9,1.0286335869343821,27,288
83,0.923738894608982,44,802
21,3.540466620838102,3,115
36,5.5181625913325885,38,599
87,0.33625093498832026,20,636
70,9.689617652602736,7,409
88,3.2099724137349748,19,174
88,2.212626851837828,31,498
12,1.4126390492589669,0,875
58,0.9725992706317388,5,564
65,9.840422413641464,27,622
39,2.603409275874047,43,576
87,5.370225213757797,30,332
46,4.479261718707299,9,886
88,0.9956908911081108,19,585
81,3.5231166120053303,7,146
37,4.6924917399024215,21,772
25,8.411401297855996,37,775
77,9.046477442095135,28,643
72,0.3755938382814028,8,48
9,5.083154485788909,43,76
20,1.6684751304849965,46,293
80,7.790510196090357,0,116
69,8.649332956024926,40,493
79,4.1139672375545455,38,560
47,1.3997258549320168,25,109
64,0.3322238526617727,10,978
82,9.825749598251935,34,179
99,3.732907507832548,23,561
88,4.200753697906107,32,71
49,0.5058811505423721,19,858
29,3.6549610626341034,26,433
19,0.16627973733867263,14,285
19,2.3074233540679567,32,515
14,7.649116989968572,6,74
39,9.441235194354546,33,596
32,7.499992487701004,44,490
65,3.394038194495186,45,321
9,4.895489368910937,41,887
57,3.389851167797783,4,532
32,1.794902609178557,29,208
31,1.7098659868313149,27,42
74,4.6345097738448295,17,498
23,8.745729576449966,35,28
35,9.441197509175636,2,410
75,6.082528658540129,20,855
55,5.9665540629505305,45,180
28,7.8364424530188845,15,304
34,5.000262977293014,36,962
0,0.503700567575438,41,614
0,6.9909807471851115,4,777
36,9.923963988886326,49,258
53,2.6726253788147822,13,372
5,6.790906156274139,30,876
38,8.642814426862447,45,745
17,7.508442456284316,23,857
79,9.644897677894308,34,380
4,5.542424350844403,35,885
42,2.123904988903086,9,612
58,2.224432243868187,26,90
31,2.1874937373677183,26,68
1,5.69573534574738,22,617
65,4.521090350334257,12,522
41,9.702366830961006,15,12
57,6.805446911927795,34,616
35,0.8529556585870057,26,225
11,0.5641833271396623,38,421
46,4.8783770435896425,46,167
82,8.810045622016748,16,928
91,9.764043865930425,47,378
0,6.176579160958802,40,289
14,5.424987750103974,0,922
99,8.546135803107145,10,99
53,7.438345453097877,11,217
12,4.785963256187501,13,306
42,6.770815740270853,7,344
84,6.0704506111645165,30,210
75,7.146969362373571,6,788
68,4.69497183091171,45,734
6,4.560146232178672,30,668
68,9.064180870601712,15,584
47,1.372204200971946,41,274
3,2.292193230865794,38,409
76,8.815853992105808,43,920
52,9.044249756892315,18,551
78,6.4578459850189915,7,234
15,3.2468297206646533,28,635
20,5.197111936582762,1,284
99,0.0005535686500857118,41,664
58,3.1186022068218913,2,658
23,4.254515379521759,28,707
79,8.853376596095856,14,172
13,6.798794564067695,37,723
85,4.56129772122862,27,301
48,4.834086165987527,36,822
49,7.887394275320365,31,0
69,2.294418344710454,29,138
41,8.802976031150045,46,707
35,3.136923925080297,29,902
64,9.574508556589537,33,731
95,4.717515708928012,12,867
69,7.115838170608138,32,441
94,1.5369430500779646,41,966
0,7.304421765667943,16,915
50,6.462644373146849,2,162
